x, y
1.245574,2.44873047
1.245574,1.19995117
1.245574,1.19873047
1.245574,2.44873047
1.245574,1.19995117
1.245574,1.19995117
1.245574,4.94995117
1.245574,1.19873047
1.245574,1.20849609
1.245574,1.23779297
1.245574,1.19873047
1.245574,3.69873047
1.245574,1.19873047
1.245574,1.19873047
1.245574,1.19873047
1.245574,3.69873047
1.245574,1.19873047
1.245574,3.69873047
1.245574,1.19873047
1.245574,1.19873047
1.245574,1.19873047
1.245574,1.19873047
1.245574,1.19873047
1.245574,1.19873047
1.245574,1.19873047
1.245574,1.19873047
1.245574,1.19873047
1.245574,3.69873047
1.245574,3.73779297
1.245574,1.23779297
1.245574,2.45849609
1.245574,1.19873047
1.245574,1.19873047
1.245574,1.19995117
1.245574,4.94873047
1.245574,1.19873047
1.245574,1.19873047
1.245574,3.69995117
1.245574,1.19873047
1.245574,1.19995117
1.245574,1.19873047
1.245574,4.94995117
1.245574,1.19873047
1.245574,1.19873047
1.245574,1.19873047
1.245574,4.94873047
1.245574,1.19995117
1.245574,1.19873047
1.245574,1.19873047
1.245574,1.19873047
1.74569, 1.84204102
1.74569, 1.84204102
1.74569, 2.31079102
1.74569, 1.68579102
1.74569, 1.68579102
1.74569, 1.70532227
1.74569, 1.70532227
1.74569, 1.84204102
1.74569, 1.68823242
1.74569, 1.70532227
1.74569, 1.68579102
1.74569, 4.36157227
1.74569, 4.18579102
1.74569, 1.84204102
1.74569, 1.68579102
1.74569, 1.68579102
1.74569, 1.68579102
1.74569, 4.18823242
1.74569, 1.68579102
1.74569, 1.68579102
1.74569, 1.69555664
1.74569, 1.84204102
1.74569, 1.68579102
1.74569, 1.68579102
1.74569, 1.68823242
1.74569, 1.68823242
1.74569, 1.68579102
1.74569, 2.31079102
1.74569, 1.68579102
1.74569, 4.18579102
1.74569, 1.68823242
1.74569, 4.18579102
1.74569, 1.68579102
1.74569, 2.31079102
1.74569, 1.84204102
1.74569, 4.18579102
1.74569, 2.31079102
1.74569, 1.68579102
1.74569, 1.68579102
1.74569, 1.68579102
1.74569, 1.68579102
1.74569, 1.68579102
1.74569, 1.84204102
1.74569, 1.84204102
1.74569, 1.68579102
1.74569, 2.31079102
1.74569, 1.68579102
1.74569, 1.68579102
1.74569, 1.85180664
1.74569, 1.68579102
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18139648
2.244921,2.18017578
2.244921,2.18139648
2.244921,2.49267578
2.244921,2.18139648
2.244921,2.18139648
2.244921,2.18017578
2.244921,2.18017578
2.244921,4.68505859
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18139648
2.244921,2.18505859
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.1862793
2.244921,2.18139648
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18017578
2.244921,4.68017578
2.244921,2.18139648
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18139648
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18017578
2.244921,4.68017578
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.49267578
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.1862793
2.244921,2.18505859
2.244921,2.18017578
2.244921,2.18017578
2.244921,2.18017578
2.745222,2.66967773
2.745222,2.68920898
2.745222,2.70874023
2.745222,2.66967773
2.745222,2.70874023
2.745222,3.29467773
2.745222,2.66967773
2.745222,2.66967773
2.745222,2.70874023
2.745222,2.70874023
2.745222,2.79174805
2.745222,2.98217773
2.745222,2.70874023
2.745222,4.56420898
2.745222,2.66967773
2.745222,2.98217773
2.745222,2.70874023
2.745222,2.6940918
2.745222,3.29467773
2.745222,2.74780273
2.745222,2.66967773
2.745222,3.00170898
2.745222,2.68920898
2.745222,2.66967773
2.745222,2.66967773
2.745222,3.3190918
2.745222,2.66967773
2.745222,2.68920898
2.745222,2.74780273
2.745222,2.74780273
2.745222,2.98217773
2.745222,2.70874023
2.745222,2.66967773
2.745222,2.66967773
2.745222,2.66967773
2.745222,2.66967773
2.745222,2.98706055
2.745222,2.68920898
2.745222,2.66967773
2.745222,4.6862793
2.745222,4.89624023
2.745222,3.02124023
2.745222,3.02612305
2.745222,2.75268555
2.745222,3.33374023
2.745222,4.97436523
2.745222,3.0456543
2.745222,3.11889648
2.745222,4.99389648
2.745222,2.98706055
3.245315,3.23120117
3.245315,3.42529297
3.245315,3.31787109
3.245315,3.14941406
3.245315,3.58276367
3.245315,4.98535156
3.245315,3.19824219
3.245315,3.18847656
3.245315,3.69750977
3.245315,3.7487793
3.245315,4.47875977
3.245315,3.14941406
3.245315,3.42285156
3.245315,3.18847656
3.245315,3.26782227
3.245315,3.22753906
3.245315,4.59594727
3.245315,3.18847656
3.245315,3.14941406
3.245315,3.73657227
3.245315,3.14941406
3.245315,3.27636719
3.245315,3.18969727
3.245315,3.15063477
3.245315,3.30566406
3.245315,3.18847656
3.245315,3.14941406
3.245315,3.23730469
3.245315,3.18847656
3.245315,4.76318359
3.245315,3.22875977
3.245315,3.15063477
3.245315,3.30688477
3.245315,3.34838867
3.245315,3.69873047
3.245315,4.55688477
3.245315,3.26904297
3.245315,3.31542969
3.245315,3.30688477
3.245315,3.69995117
3.245315,3.22753906
3.245315,4.80102539
3.245315,3.27636719
3.245315,3.14941406
3.245315,4.55566406
3.245315,3.18847656
3.245315,3.18969727
3.245315,3.27636719
3.245315,3.30566406
3.245315,3.73657227
3.745885,4.8815918
3.745885,3.6315918
3.745885,3.6706543
3.745885,3.6315918
3.745885,4.8815918
3.745885,3.6706543
3.745885,4.8815918
3.745885,3.6315918
3.745885,4.9987793
3.745885,4.8815918
3.745885,4.8815918
3.745885,4.8815918
3.745885,3.6706543
3.745885,3.6315918
3.745885,3.7487793
3.745885,3.7487793
3.745885,3.6315918
3.745885,3.6315918
3.745885,3.7097168
3.745885,3.6706543
3.745885,3.6706543
3.745885,3.6315918
3.745885,3.6315918
3.745885,3.6315918
3.745885,3.6315918
3.745885,3.6315918
3.745885,3.6315918
3.745885,3.6315918
3.745885,4.9206543
3.745885,4.8815918
3.745885,3.7487793
3.745885,3.6315918
3.745885,3.6315918
3.745885,3.6315918
3.745885,3.6706543
3.745885,3.7097168
3.745885,3.6315918
3.745885,3.7097168
3.745885,3.6315918
3.745885,3.6315918
3.745885,3.6315918
3.745885,3.6315918
3.745885,3.6315918
3.745885,3.6706543
3.745885,3.6315918
3.745885,3.6706543
3.745885,3.7487793
3.745885,3.6315918
3.745885,3.6315918
3.745885,3.6315918
4.246739,4.11499023
4.246739,4.11499023
4.246739,4.19799805
4.246739,4.19311523
4.246739,4.13452148
4.246739,4.11499023
4.246739,4.11499023
4.246739,4.11499023
4.246739,4.11499023
4.246739,4.19311523
4.246739,4.11499023
4.246739,4.21264648
4.246739,4.19311523
4.246739,4.11499023
4.246739,4.21264648
4.246739,4.13452148
4.246739,4.11499023
4.246739,4.27124023
4.246739,4.13452148
4.246739,4.11499023
4.246739,4.11987305
4.246739,4.27124023
4.246739,4.19311523
4.246739,4.13452148
4.246739,4.11499023
4.246739,4.13452148
4.246739,4.74487305
4.246739,4.19311523
4.246739,4.19311523
4.246739,4.34936523
4.246739,4.13452148
4.246739,4.11499023
4.246739,4.13452148
4.246739,4.19799805
4.246739,4.11499023
4.246739,4.73999023
4.246739,4.34936523
4.246739,4.21264648
4.246739,4.11987305
4.246739,4.19311523
4.246739,4.27124023
4.246739,4.21264648
4.246739,4.11499023
4.246739,4.19311523
4.246739,4.21264648
4.246739,4.11499023
4.246739,4.11987305
4.246739,4.13452148
4.246739,4.11499023
4.246739,4.11987305
4.745468,4.31762695
4.745468,4.35668945
4.745468,4.31762695
4.745468,4.32495117
4.745468,4.36401367
4.745468,4.31762695
4.745468,4.35668945
4.745468,4.31762695
4.745468,4.32250977
4.745468,4.32250977
4.745468,4.31762695
4.745468,4.31762695
4.745468,4.31762695
4.745468,4.94262695
4.745468,4.31762695
4.745468,4.3347168
4.745468,4.31762695
4.745468,4.32006836
4.745468,4.3347168
4.745468,4.32006836
4.745468,4.32006836
4.745468,4.31762695
4.745468,4.98657227
4.745468,4.31762695
4.745468,4.31762695
4.745468,4.32739258
4.745468,4.35668945
4.745468,4.31762695
4.745468,4.32250977
4.745468,4.31762695
4.745468,4.31762695
4.745468,4.94506836
4.745468,4.32006836
4.745468,4.32006836
4.745468,4.35668945
4.745468,4.94506836
4.745468,4.35668945
4.745468,4.31762695
4.745468,4.32250977
4.745468,4.32739258
4.745468,4.36157227
4.745468,4.31762695
4.745468,4.32250977
4.745468,4.33227539
4.745468,4.3347168
4.745468,4.31762695
4.745468,4.31762695
4.745468,4.3347168
4.745468,4.32495117
4.745468,4.31762695